Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
43;05.02;02.08;04.06;01.02;Iris-versicolor
44;06.08;02.03;03.03;1;Iris-versicolor
45;5;02.07;04.02;01.07;Iris-versicolor
46;05.07;2;04.02;01.02;Iris-versicolor
47;05.07;02.09;4;01.03;Iris-versicolor
48;06.02;02.09;04.03;01.08;Iris-versicolor
49;05.01;02.05;3;01.01;Iris-versicolor
50;05.09;02.08;04.01;01.04;Iris-versicolor
51;06.03;03.03;6;02.05;Iris-virginica
52;05.08;02.02;05.01;01.05;Iris-virginica
53;07.01;3;05.02;02.01;Iris-virginica
54;06.08;02.09;05.06;01.09;Iris-virginica
55;06.05;3;05.08;02.02;Iris-virginica
56;07.06;03.3;06.02;02.01;Iris-virginica
57;04.09;02.05;04.05;01.06;Iris-virginica
58;07.07;02.02;06.05;01.08;Iris-virginica
59;06.09;02.05;05.08;01.08;Iris-virginica
60;07.02;03.08;06.04;02.01;Iris-virginica
61;5;03.02;05.01;2;Iris-virginica
62;06.09;02.02;05.08;01.09;Iris-virginica
63;05.08;3;05.03;02.04;Iris-virginica
64;05.03;02.05;5;2;Iris-virginica
65;05.02;02.04;05.01;02.06;Iris-virginica
66;06.04;03.02;05.03;02.03;Iris-virginica
67;06.03;3;05.07;01.02;Iris-virginica
68;07.09;03.08;06.07;02.02;Iris-virginica
69;07.07;02.03;06.02;02.03;Iris-virginica
70;6;02.02;5;01.01;Iris-virginica
71;06.09;03.07;05.07;02.03;Iris-virginica
72;05.06;02.08;04.04;2;Iris-virginica
73;07.02;02.04;06.07;8;Iris-virginica
74;06.03;02.07;04.01;01.08;Iris-virginica
75;06.09;03.03;05.07;02.01;Iris-virginica
76;07.02;03.02;6;01.02;Iris-virginica
77;06.02;02.08;04.08;01.08;Iris-virginica
78;06.05;3;04.04;01.08;Iris-virginica
79;06.08;02.05;05.06;02.05;Iris-virginica
80;07.02;3;05.08;01.06;Iris-virginica
81;07.04;02.08;5;01.09;Iris-virginica
82;07.09;03.08;06.04;2;Iris-virginica
83;06.09;02.02;05.05;02.02;Iris-virginica
84;06.03;02.08;05.01;01.05;Iris-virginica
85;06.04;02.05;05.06;3;Iris-virginica
86;06.08;3;06.02;02.03;Iris-virginica
87;06.03;03.08;05.06;02.04;Iris-virginica
88;06.04;03.01;05.05;01.04;Iris-virginica
89;6;3;6;01.08;Iris-virginica
90;06.09;03.06;05.03;02.01;Iris-virginica
91;06.07;03.01;05.06;02.02;Iris-virginica
92;06.09;2;05.01;02.03;Iris-virginica
93;05.08;02.07;05.04;01.09;Iris-virginica
94;06.08;03.02;05.09;02.07;Iris-virginica
95;06.07;03.01;05.02;02.05;Iris-virginica
96;06.07;3;05.02;02.03;Iris-virginica
97;5;02.05;5;01.02;Iris-virginica
98;06.05;3;05.04;2;Iris-virginica
99;06.02;03.04;05.04;02.03;Iris-virginica
100;05.03;3;05.06;01.01;Iris-virginica
101;05.02;02.07;03.05;1;Iris-versicolor
102;05.09;02.04;03.08;01.04;Iris-versicolor
103;05.04;02.04;03.07;1;Iris-versicolor
104;06.08;02.02;4;01.06;Iris-versicolor
105;6;02.07;05.01;01.06;Iris-versicolor
106;05.04;3;04.05;01.02;Iris-versicolor
107;6;03.04;04.05;01.06;Iris-versicolor
108;06.07;03.01;04.07;01.07;Iris-versicolor
109;06.03;02.07;04.04;01.03;Iris-versicolor
110;05.08;3;04.06;01.03;Iris-versicolor
111;05.05;02.04;4;1;Iris-versicolor
112;05.05;02.06;04.04;01.02;Iris-versicolor
113;06.08;3;04.06;01.02;Iris-versicolor
114;05.02;02.08;04.06;01.02;Iris-versicolor
115;06.08;02.03;03.03;1;Iris-versicolor
116;5;02.07;04.02;01.07;Iris-versicolor
117;05.07;2;04.02;01.02;Iris-versicolor
118;05.07;02.09;4;01.03;Iris-versicolor
119;06.02;02.09;04.03;01.08;Iris-versicolor
120;05.01;02.05;3;01.01;Iris-versicolor
121;05.09;02.08;04.01;01.04;Iris-versicolor
122;06.03;03.03;6;02.05;Iris-virginica
123;05.08;02.02;05.01;01.05;Iris-virginica
124;07.01;3;05.02;02.01;Iris-virginica
125;06.08;02.09;05.06;01.09;Iris-virginica
126;06.05;3;05.08;02.02;Iris-virginica
127;07.06;03.3;06.02;02.01;Iris-virginica
128;04.09;02.05;04.05;01.06;Iris-virginica
129;07.07;02.02;06.05;01.08;Iris-virginica
130;06.09;02.05;05.08;01.08;Iris-virginica
